name,unique_cycle_sum,unique_energy_sum,arith_meshX,arith_ins,mem0_ins,mem0_ent,mem1_ins,mem1_ent,mem2_ins,mem2_ent,mem3_ins,mem3_ent,mem4_ins,mem4_ent
arch_pe0.25_mac0.25_buf_2_0.5_4_0.5,10306856,8051349368.459999,4,256,256,1,128,128,128,8192,64,4096,1,32768
arch_pe0.25_mac0.25_buf_2_0.5_4_1,10178702,7189091141.0599985,4,256,256,1,128,128,128,8192,64,4096,1,65536
arch_pe0.25_mac0.25_buf_2_0.5_4_2,8967258,5784177150.090001,4,256,256,1,128,128,128,8192,64,4096,1,131072
arch_pe0.25_mac0.25_buf_2_0.5_4_4,7891341,4450196571.68,4,256,256,1,128,128,128,8192,64,4096,1,262144
arch_pe0.25_mac0.25_buf_2_1_0.5_0.5,10306856,7839558848.900001,4,256,256,1,128,128,128,16384,64,512,1,32768
arch_pe0.25_mac0.25_buf_2_1_0.5_1,9502939,7127176847.33,4,256,256,1,128,128,128,16384,64,512,1,65536
arch_pe0.25_mac0.25_buf_2_1_0.5_2,7891341,4905626876.030001,4,256,256,1,128,128,128,16384,64,512,1,131072
arch_pe0.25_mac0.25_buf_2_1_0.5_4,7891341,5060460046.7,4,256,256,1,128,128,128,16384,64,512,1,262144
arch_pe0.25_mac0.25_buf_2_1_1_0.5,10306856,7720606786.599999,4,256,256,1,128,128,128,16384,64,1024,1,32768
arch_pe0.25_mac0.25_buf_2_1_1_1,9102785,5981110144.37,4,256,256,1,128,128,128,16384,64,1024,1,65536
arch_pe0.25_mac0.25_buf_2_1_1_2,7891341,4970127702.559999,4,256,256,1,128,128,128,16384,64,1024,1,131072
arch_pe0.25_mac0.25_buf_2_1_1_4,7891341,4605262439.690001,4,256,256,1,128,128,128,16384,64,1024,1,262144
arch_pe0.25_mac0.25_buf_2_1_2_0.5,10306856,7946291566.16,4,256,256,1,128,128,128,16384,64,2048,1,32768
arch_pe0.25_mac0.25_buf_2_1_2_1,9102785,6007076752.250001,4,256,256,1,128,128,128,16384,64,2048,1,65536
arch_pe0.25_mac0.25_buf_2_1_2_2,7891341,4616611267.7,4,256,256,1,128,128,128,16384,64,2048,1,131072
arch_pe0.25_mac0.25_buf_2_1_2_4,7891341,4724453194.14,4,256,256,1,128,128,128,16384,64,2048,1,262144
arch_pe0.25_mac0.25_buf_2_1_4_0.5,10306856,8168976483.73,4,256,256,1,128,128,128,16384,64,4096,1,32768
arch_pe0.25_mac0.25_buf_2_1_4_1,9102785,6010273007.630001,4,256,256,1,128,128,128,16384,64,4096,1,65536
arch_pe0.25_mac0.25_buf_2_1_4_2,7891341,4501988756.09,4,256,256,1,128,128,128,16384,64,4096,1,131072
arch_pe0.25_mac0.25_buf_2_1_4_4,7891341,4489463937.64,4,256,256,1,128,128,128,16384,64,4096,1,262144
arch_pe0.25_mac0.25_buf_2_2_0.5_0.5,9102785,6780513309.3,4,256,256,1,128,128,128,32768,64,512,1,32768
arch_pe0.25_mac0.25_buf_2_2_0.5_1,9498485,7357788468.460001,4,256,256,1,128,128,128,32768,64,512,1,65536
arch_pe0.25_mac0.25_buf_2_2_0.5_2,7891341,4945929957.52,4,256,256,1,128,128,128,32768,64,512,1,131072
arch_pe0.25_mac0.25_buf_2_2_0.5_4,7891341,5430452699.900001,4,256,256,1,128,128,128,32768,64,512,1,262144
arch_pe0.25_mac0.25_buf_2_2_1_0.5,7891341,5140105409.780001,4,256,256,1,128,128,128,32768,64,1024,1,32768
arch_pe0.25_mac0.25_buf_2_2_1_1,7891341,4697103813.599999,4,256,256,1,128,128,128,32768,64,1024,1,65536
arch_pe0.25_mac0.25_buf_2_2_1_2,7891341,5075894264.660001,4,256,256,1,128,128,128,32768,64,1024,1,131072
arch_pe0.25_mac0.25_buf_2_2_1_4,7891341,4773523523.26,4,256,256,1,128,128,128,32768,64,1024,1,262144
arch_pe0.25_mac0.25_buf_2_2_2_0.5,7891341,5181075901.249999,4,256,256,1,128,128,128,32768,64,2048,1,32768
arch_pe0.25_mac0.25_buf_2_2_2_1,7891341,4785990926.950001,4,256,256,1,128,128,128,32768,64,2048,1,65536
arch_pe0.25_mac0.25_buf_2_2_2_2,7891341,4683051180.73,4,256,256,1,128,128,128,32768,64,2048,1,131072
arch_pe0.25_mac0.25_buf_2_2_2_4,7891341,4772632176.280001,4,256,256,1,128,128,128,32768,64,2048,1,262144
arch_pe0.25_mac0.25_buf_2_2_4_0.5,7891341,5440000173.690001,4,256,256,1,128,128,128,32768,64,4096,1,32768
arch_pe0.25_mac0.25_buf_2_2_4_1,7891341,4796721975.030001,4,256,256,1,128,128,128,32768,64,4096,1,65536
arch_pe0.25_mac0.25_buf_2_2_4_2,7891341,4678007943.440001,4,256,256,1,128,128,128,32768,64,4096,1,131072
arch_pe0.25_mac0.25_buf_2_2_4_4,7891341,4571996703.23,4,256,256,1,128,128,128,32768,64,4096,1,262144
arch_pe0.25_mac0.25_buf_2_4_0.5_0.5,9102785,7214969305.150001,4,256,256,1,128,128,128,65536,64,512,1,32768
arch_pe0.25_mac0.25_buf_2_4_0.5_1,9498485,7779852004.71,4,256,256,1,128,128,128,65536,64,512,1,65536
arch_pe0.25_mac0.25_buf_2_4_0.5_2,7891341,4978415562.48,4,256,256,1,128,128,128,65536,64,512,1,131072
arch_pe0.25_mac0.25_buf_2_4_0.5_4,7891341,5740888920.690001,4,256,256,1,128,128,128,65536,64,512,1,262144
arch_pe0.25_mac0.25_buf_2_4_1_0.5,7891341,5391594088.990001,4,256,256,1,128,128,128,65536,64,1024,1,32768
arch_pe0.25_mac0.25_buf_2_4_1_1,7891341,5034855526.45,4,256,256,1,128,128,128,65536,64,1024,1,65536
arch_pe0.25_mac0.25_buf_2_4_1_2,7891341,5256212920.339999,4,256,256,1,128,128,128,65536,64,1024,1,131072
arch_pe0.25_mac0.25_buf_2_4_1_4,7891341,4877567270.96,4,256,256,1,128,128,128,65536,64,1024,1,262144
